territory,indicator,year,value,unit,source,data_level,last_updated
Sabah,Population,2023,3596700,people,Department of Statistics Malaysia (DOSM) — population_state.csv,state,2026-09-05
Sabah,Population,2024,3742000,people,Department of Statistics Malaysia (DOSM) — population_state.csv,state,2026-09-05
Sabah,Population,2025,3754500,people,Department of Statistics Malaysia (DOSM) — population_state.csv,state,2026-09-05
Sabah,Population,2026,3767000,people,Department of Statistics Malaysia (DOSM) — population_state.csv,state,2026-09-05
Sarawak,Population,1970,1037000,people,Department of Statistics Malaysia (DOSM) — population_state.csv,state,2026-09-05
Sarawak,Population,1971,1065200,people,Department of Statistics Malaysia (DOSM) — population_state.csv,state,2026-09-05
Sarawak,Population,1972,1094300,people,Department of Statistics Malaysia (DOSM) — population_state.csv,state,2026-09-05
Sarawak,Population,1973,1124100,people,Department of Statistics Malaysia (DOSM) — population_state.csv,state,2026-09-05
Sarawak,Population,1974,1154700,people,Department of Statistics Malaysia (DOSM) — population_state.csv,state,2026-09-05
Sarawak,Population,1975,1186200,people,Department of Statistics Malaysia (DOSM) — population_state.csv,state,2026-09-05
Sarawak,Population,1976,1217500,people,Department of Statistics Malaysia (DOSM) — population_state.csv,state,2026-09-05
Sarawak,Population,1977,1249600,people,Department of Statistics Malaysia (DOSM) — population_state.csv,state,2026-09-05
Sarawak,Population,1978,1282500,people,Department of Statistics Malaysia (DOSM) — population_state.csv,state,2026-09-05
Sarawak,Population,1979,1316400,people,Department of Statistics Malaysia (DOSM) — population_state.csv,state,2026-09-05
Sarawak,Population,1980,1351100,people,Department of Statistics Malaysia (DOSM) — population_state.csv,state,2026-09-05
Sarawak,Population,1981,1380200,people,Department of Statistics Malaysia (DOSM) — population_state.csv,state,2026-09-05
Sarawak,Population,1982,1410400,people,Department of Statistics Malaysia (DOSM) — population_state.csv,state,2026-09-05
Sarawak,Population,1983,1440600,people,Department of Statistics Malaysia (DOSM) — population_state.csv,state,2026-09-05
Sarawak,Population,1984,1471400,people,Department of Statistics Malaysia (DOSM) — population_state.csv,state,2026-09-05
Sarawak,Population,1985,1503900,people,Department of Statistics Malaysia (DOSM) — population_state.csv,state,2026-09-05
Sarawak,Population,1986,1539500,people,Department of Statistics Malaysia (DOSM) — population_state.csv,state,2026-09-05
Sarawak,Population,1987,1576000,people,Department of Statistics Malaysia (DOSM) — population_state.csv,state,2026-09-05
Sarawak,Population,1988,1614600,people,Department of Statistics Malaysia (DOSM) — population_state.csv,state,2026-09-05
Sarawak,Population,1989,1652500,people,Department of Statistics Malaysia (DOSM) — population_state.csv,state,2026-09-05
Sarawak,Population,1990,1687800,people,Department of Statistics Malaysia (DOSM) — population_state.csv,state,2026-09-05
Sarawak,Population,1991,1723800,people,Department of Statistics Malaysia (DOSM) — population_state.csv,state,2026-09-05
Sarawak,Population,1992,1758400,people,Department of Statistics Malaysia (DOSM) — population_state.csv,state,2026-09-05
Sarawak,Population,1993,1795200,people,Department of Statistics Malaysia (DOSM) — population_state.csv,state,2026-09-05
Sarawak,Population,1994,1831900,people,Department of Statistics Malaysia (DOSM) — population_state.csv,state,2026-09-05
Sarawak,Population,1995,1868100,people,Department of Statistics Malaysia (DOSM) — population_state.csv,state,2026-09-05
Sarawak,Population,1996,1904500,people,Department of Statistics Malaysia (DOSM) — population_state.csv,state,2026-09-05
Sarawak,Population,1997,1942400,people,Department of Statistics Malaysia (DOSM) — population_state.csv,state,2026-09-05
Sarawak,Population,1998,1982100,people,Department of Statistics Malaysia (DOSM) — population_state.csv,state,2026-09-05
Sarawak,Population,1999,2024500,people,Department of Statistics Malaysia (DOSM) — population_state.csv,state,2026-09-05
Sarawak,Population,2000,2071500,people,Department of Statistics Malaysia (DOSM) — population_state.csv,state,2026-09-05
Sarawak,Population,2001,2115600,people,Department of Statistics Malaysia (DOSM) — population_state.csv,state,2026-09-05
Sarawak,Population,2002,2158300,people,Department of Statistics Malaysia (DOSM) — population_state.csv,state,2026-09-05
Sarawak,Population,2003,2199000,people,Department of Statistics Malaysia (DOSM) — population_state.csv,state,2026-09-05
Sarawak,Population,2004,2240400,people,Department of Statistics Malaysia (DOSM) — population_state.csv,state,2026-09-05
Sarawak,Population,2005,2282400,people,Department of Statistics Malaysia (DOSM) — population_state.csv,state,2026-09-05
Sarawak,Population,2006,2324900,people,Department of Statistics Malaysia (DOSM) — population_state.csv,state,2026-09-05
Sarawak,Population,2007,2366100,people,Department of Statistics Malaysia (DOSM) — population_state.csv,state,2026-09-05
Sarawak,Population,2008,2408400,people,Department of Statistics Malaysia (DOSM) — population_state.csv,state,2026-09-05
Sarawak,Population,2009,2450800,people,Department of Statistics Malaysia (DOSM) — population_state.csv,state,2026-09-05
Sarawak,Population,2010,2487100,people,Department of Statistics Malaysia (DOSM) — population_state.csv,state,2026-09-05
Sarawak,Population,2011,2527900,people,Department of Statistics Malaysia (DOSM) — population_state.csv,state,2026-09-05
Sarawak,Population,2012,2569700,people,Department of Statistics Malaysia (DOSM) — population_state.csv,state,2026-09-05
Sarawak,Population,2013,2642500,people,Department of Statistics Malaysia (DOSM) — population_state.csv,state,2026-09-05
Sarawak,Population,2014,2664000,people,Department of Statistics Malaysia (DOSM) — population_state.csv,state,2026-09-05
Sarawak,Population,2015,2701500,people,Department of Statistics Malaysia (DOSM) — population_state.csv,state,2026-09-05
Sarawak,Population,2016,2738700,people,Department of Statistics Malaysia (DOSM) — population_state.csv,state,2026-09-05
Sarawak,Population,2017,2766300,people,Department of Statistics Malaysia (DOSM) — population_state.csv,state,2026-09-05
Sarawak,Population,2018,2791700,people,Department of Statistics Malaysia (DOSM) — population_state.csv,state,2026-09-05
Sarawak,Population,2019,2806000,people,Department of Statistics Malaysia (DOSM) — population_state.csv,state,2026-09-05
Sarawak,Population,2020,2453700,people,Department of Statistics Malaysia (DOSM) — population_state.csv,state,2026-09-05
Sarawak,Population,2021,2465600,people,Department of Statistics Malaysia (DOSM) — population_state.csv,state,2026-09-05
Sarawak,Population,2022,2473500,people,Department of Statistics Malaysia (DOSM) — population_state.csv,state,2026-09-05
Sarawak,Population,2023,2502300,people,Department of Statistics Malaysia (DOSM) — population_state.csv,state,2026-09-05
Sarawak,Population,2024,2517500,people,Department of Statistics Malaysia (DOSM) — population_state.csv,state,2026-09-05
Sarawak,Population,2025,2528900,people,Department of Statistics Malaysia (DOSM) — population_state.csv,state,2026-09-05
Sarawak,Population,2026,2539800,people,Department of Statistics Malaysia (DOSM) — population_state.csv,state,2026-09-05
Sabah,Clean water access,2022,80.5,%,data.gov.my / OpenDOSM,state,2026-09-05
Sarawak,Clean water access,2022,83.7,%,data.gov.my / OpenDOSM,state,2026-09-05
Sabah,Unemployment rate,2025,5.7,%,data.gov.my / OpenDOSM,state,2026-09-05
Sarawak,Unemployment rate,2025,3.1,%,data.gov.my / OpenDOSM,state,2026-09-05
Sabah,GDP (real),2025,88773.954,RM mil,data.gov.my / OpenDOSM,state,2026-09-05
